,readable,energies
0,,0.9173511266708374
1,,0.9173511266708374
2,,0.9110423922538757
3,,0.9110423922538757
4,,0.9291162490844727
5,,0.9110423922538757
6,,0.9035813212394714
7,,0.9054325222969055
8,,0.9173511266708374
9,,0.9035813212394714
10,,0.8926421403884888
11,,0.8926421403884888
12,,0.9054325222969055
13,,0.9235746264457703
14,,0.9291162490844727
15,,0.9173511266708374
16,,0.8926421403884888
17,,0.9035813212394714
18,,0.9235746264457703
19,,0.9054325222969055
20,,0.9146901965141296
21,,0.879318118095398
22,,0.9146901965141296
23,,0.9173511266708374
24,,0.9291162490844727
25,,0.9054325222969055
26,,0.8827717900276184
27,,0.8949392437934875
28,,0.9035813212394714
29,,0.9235746264457703
30,,0.9173511266708374
31,,0.8827717900276184
32,,0.8926421403884888
33,,0.9173511266708374
34,,0.9173511266708374
35,,0.9035813212394714
36,,0.8850226998329163
37,,0.8827717900276184
38,,0.879318118095398
39,,0.9146901965141296
40,,0.8827717900276184
41,,0.8850226998329163
42,,0.8949392437934875
43,,0.879318118095398
44,,0.9291162490844727
45,,0.8949392437934875
46,,0.8850226998329163
47,,0.8949392437934875
48,,0.8949392437934875
49,,0.8850226998329163
50,,0.9235746264457703
51,,0.9291162490844727
52,,0.9110423922538757
53,,0.9173511266708374
54,,0.9035813212394714
55,,0.9173511266708374
56,,0.9054325222969055
57,,0.8827717900276184
58,,0.8926421403884888
59,,0.9235746264457703
60,,0.9110423922538757
61,,0.8850226998329163
62,,0.9235746264457703
63,,0.9110423922538757
64,,0.9110423922538757
65,,0.9035813212394714
66,,0.9110423922538757
67,,0.9235746264457703
68,,0.9035813212394714
69,,0.9054325222969055
70,,0.9235746264457703
71,,0.9235746264457703
72,,0.9173511266708374
73,,0.879318118095398
74,,0.9035813212394714
75,,0.8949392437934875
76,,0.9291162490844727
77,,0.8949392437934875
78,,0.8926421403884888
79,,0.9146901965141296
80,,0.8850226998329163
81,,0.9035813212394714
82,,0.9291162490844727
83,,0.9291162490844727
84,,0.9235746264457703
85,,0.9054325222969055
86,,0.8926421403884888
87,,0.9173511266708374
88,,0.9146901965141296
89,,0.9173511266708374
